date,Value,COUNT,AREA,SUM,day,month,year,Akm2
1980-01-01,1,4,0.0399987793062,1.66634847848,1,1,1980,588.642613069
1980-02-01,1,3,0.0299990844796,1.162755395,1,2,1980,441.481959802
1980-03-01,1,3,0.0299990844796,1.74643317715,1,3,1980,441.481959802
1980-04-01,1,3,0.0299990844796,2.15003410754,1,4,1980,441.481959802
1980-05-01,1,8,0.0799975586124,5.6995333088,1,5,1980,1177.28522614
1980-06-01,1,6,0.0599981689593,3.43937798977,1,6,1980,882.963919603
1980-07-01,1,107,1.06996734644,65.2963297607,1,7,1980,15746.1898996
1980-08-01,1,5,0.0499984741327,2.26218580499,1,8,1980,735.803266336
1980-09-01,1,6,0.0599981689593,2.87011362475,1,9,1980,882.963919603
1980-10-01,1,3,0.0299990844796,1.63018701437,1,10,1980,441.481959802
1980-11-01,1,1,0.00999969482655,0.584016839136,1,11,1980,147.160653267
1980-12-01,1,1,0.00999969482655,0.562192279896,1,12,1980,147.160653267
1981-01-01,1,3,0.0299990844796,1.09388831648,1,1,1981,441.481959802
1981-02-01,1,3,0.0299990844796,1.83495557419,1,2,1981,441.481959802
1981-03-01,1,8,0.0799975586124,3.49224536808,1,3,1981,1177.28522614
1981-04-01,1,10,0.0999969482655,8.34718347154,1,4,1981,1471.60653267
1981-05-01,1,2,0.0199993896531,1.76298444661,1,5,1981,294.321306534
1981-06-01,1,2,0.0199993896531,1.74864639687,1,6,1981,294.321306534
1981-07-01,1,166,1.65994934121,95.2894411842,1,7,1981,24428.6684424
1981-08-01,1,2,0.0199993896531,1.15074515029,1,8,1981,294.321306534
1981-09-01,1,335,3.34989776689,214.484014879,1,9,1981,49298.8188445
1981-10-01,1,4,0.0399987793062,1.95298120259,1,10,1981,588.642613069
1981-11-01,1,4,0.0399987793062,2.33746984102,1,11,1981,588.642613069
1981-12-01,1,5,0.0499984741327,2.3215546398,1,12,1981,735.803266336
1982-01-01,1,3,0.0299990844796,1.85076678956,1,1,1982,441.481959802
1982-02-01,1,3,0.0299990844796,2.39269435637,1,2,1982,441.481959802
1982-03-01,1,3,0.0299990844796,2.68143961123,1,3,1982,441.481959802
1982-04-01,1,2,0.0199993896531,2.06209334156,1,4,1982,294.321306534
1982-05-01,1,465,4.64985809434,265.563956168,1,5,1982,68429.7037692
1982-06-01,1,2,0.0199993896531,1.12793658268,1,6,1982,294.321306534
1982-07-01,1,2,0.0199993896531,1.10548900158,1,7,1982,294.321306534
1982-08-01,1,438,4.37986633403,256.818524668,1,8,1982,64456.366131
1982-09-01,1,2,0.0199993896531,0.949974131955,1,9,1982,294.321306534
1982-10-01,1,4,0.0399987793062,1.99510526008,1,10,1982,588.642613069
1982-11-01,1,1,0.00999969482655,0.701443705771,1,11,1982,147.160653267
1982-12-01,1,1,0.00999969482655,0.551999296388,1,12,1982,147.160653267
